Age,City,Gender,Policy,Excess,Value,Premium
Young,Auckland,Men,AA Insurance Comprehensive,1050,Agreed,92.11
Young,Auckland,Men,AMI Insurance Comprehensive,650,Agreed,67.33
Young,Auckland,Men,AMP Everyday Plus,1000,Agreed,106.2
Young,Auckland,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,143
Young,Auckland,Men,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,96.69
Young,Auckland,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,79.14
Young,Auckland,Men,FMG Superior Private Vehicles,900,Market,81.14
Young,Auckland,Men,Lantern Insurance Echelon Full Cover,1000,Market,119.82
Young,Auckland,Men,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,60.42
Young,Auckland,Men,State Insurance Car Comprehensive,850,Agreed,72.31
Young,Auckland,Men,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,72.82
Young,Auckland,Men,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,72.22
Young,Auckland,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,65.3
Young,Auckland,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,130.29
Young,Auckland,Men,Warehouse Money Everyday Plus,1000,Agreed,101.67
Young,Auckland,Men,Westpac Car Insurance Full Cover,850,Market,84.25
Young,Auckland,Men,Youi Car Comprehensive,1800,Agreed,75.23
Young,Hamilton,Men,AA Insurance Comprehensive,1050,Agreed,70.89
Young,Hamilton,Men,AMI Insurance Comprehensive,650,Agreed,56.77
Young,Hamilton,Men,AMP Everyday Plus,1000,Agreed,66.23
Young,Hamilton,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,90
Young,Hamilton,Men,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,73.65
Young,Hamilton,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,56.27
Young,Hamilton,Men,FMG Superior Private Vehicles,900,Market,51.55
Young,Hamilton,Men,Lantern Insurance Echelon Full Cover,1000,Market,85.23
