Age,City,Gender,Policy,Excess,Value,Premium
Young,Auckland,Men,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,39.08
Young,Auckland,Men,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,24.02
Young,Auckland,Men,AMP Third Party Fire and Theft,1000,Market,56.75
Young,Auckland,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,39.71
Young,Auckland,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,31.03
Young,Auckland,Men,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,42.9
Young,Auckland,Men,Lantern Insurance Echelon Third Party Fire and Theft,1000,Market,35.54
Young,Auckland,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,35.25
Young,Auckland,Men,State Insurance Car Third Party Fire and Theft,850,Agreed,44.63
Young,Auckland,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,27.6
Young,Auckland,Men,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,47.45
Young,Auckland,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,31.54
Young,Auckland,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,55.82
Young,Auckland,Men,Warehouse Money Third Party Fire and Theft,1000,Market,51.31
Young,Auckland,Men,Westpac Car Insurance Third Party Fire and Theft,850,Market,37.89
Young,Auckland,Men,Youi Car Third Party Fire and Theft,1800,Market,41.83
Young,Hamilton,Men,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,26.83
Young,Hamilton,Men,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,20.22
Young,Hamilton,Men,AMP Third Party Fire and Theft,1000,Market,39.48
Young,Hamilton,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,29.48
Young,Hamilton,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,21.1
Young,Hamilton,Men,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,27.67
Young,Hamilton,Men,Lantern Insurance Echelon Third Party Fire and Theft,1000,Market,27.72
